zip,geoid
12474,36025971100
33623,12057980600
02044,25023501102
23070,51119951200
12483,36111954700
33630,12057980600
02047,25023505201
23079,51119950900
12486,36111952800
33646,12057011008
02051,25023506202
23081,51095080308
12490,36111950100
33672,12057005101
02059,25023506203
23085,51097950400
12492,36039080402
33673,12057001600
02060,25023505103
23090,51199051000
12493,36111952600
33674,12057001600
02065,25023506206
23105,51007930200
12495,36111950600
33675,12057014200
02070,25021441202
23106,51101950101
12503,36021001700
33677,12057004400
02071,25021411101
23108,51097950500
12504,36027150003
33679,12057005800
02112,25025070104
23110,51097950500
12506,36027170000
33680,12057001001
02117,25025070700
23115,51057950600
12507,36027150003
33681,12057006501
02123,25025010403
23125,51115951401
12510,36027080104
33682,12057011206
02133,25025020302
23126,51097950400
12511,36027190301
33684,12057011911
02137,25025140201
23127,51095080402
12512,36027190301
33685,12057011613
02185,25021419800
23131,51073100302
12513,36021001000
33687,12057010600
02196,25025070104
23147,51036600300
12517,36021001600
33688,12057011303
02199,25025010600
23154,51073100203
12527,36027060202
33689,12057013315
02201,25025030302
23156,51097950500
12530,36021001000
33694,12057011516
02203,25025030302
23161,51097950400
12537,36027190401
33729,12103024412
02205,25025070104
23162,51085321401
12541,36021001500
33730,12103021900
02217,25025010600
23163,51115951401
12544,36021001000
33731,12103021502
02222,25025020305
23169,51119951100
12551,36071000400
33732,12103024410
02238,25017354100
23170,51109950303
12552,36071015203
33733,12103021900
02269,25021417704
23178,51073100203
12555,36071015203
33734,12103023200
02303,25023511000
23180,51119950900
12565,36021001000
33736,12103028006
02304,25023511601
23183,51073100302
12568,36111954100
33738,12103027801
02305,25023510300
23184,51073100301
12574,36027160003
33741,12103028006
02327,25023508102
23186,51830370300
12584,36071012602
33742,12103024412
02331,25023507103
23187,51830370300
12588,36111954402
33743,12103022501
02334,25005985600
23190,51073100203
12602,36027220201
33744,12103025106
02337,25023523100
23218,51760030502
12604,36027410000
33747,12103020109
02344,25023542200
23232,51760011100
12720,36105952000
33757,12103025902
02345,25023530802
23241,51760030501
12722,36105951201
33758,12103026703
02348,25023540101
23242,51087200133
12724,36105950400
33766,12103026813
02349,25023540101
23249,51760070902
12736,36105950300
33775,12103025112
02350,25023522101
23250,51087980100
12737,36105952500
33779,12103025603
02355,25023544100
23255,51087200153
12743,36105952400
33780,12103024906
02357,25005985600
23260,51760011100
12749,36105951900
33784,12103021900
02358,25023508101
23261,51760011100
12750,36105952100
33786,12103027605
02361,25023530300
23269,51760040202
12751,36105951500
33802,12105016400
02366,25023544200
